# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-11-07T00:41:09.117Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T21:00:00.000Z - 2012-12-31T03:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# hE [km] - Minimum virtual height of E trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS     hE QD
2012-01-01T21:44:11.000Z  85  147.0 //
2012-01-01T22:14:07.000Z  60  139.0 //
2012-01-01T22:21:36.000Z  80  136.9 //
2012-01-01T22:29:05.000Z  60  109.9 //
2012-01-01T22:44:03.000Z  60  131.8 //
2012-01-02T22:59:01.000Z  85   98.0 //
2012-01-02T23:06:30.000Z  80  135.0 //
2012-01-02T23:13:59.000Z  95  134.3 //
2012-01-03T19:07:03.000Z  80   87.5 //
2012-01-03T19:14:32.000Z  70   94.8 //
2012-01-03T19:22:01.000Z  90   97.0 //
2012-01-03T21:21:44.000Z  60  126.7 //
2012-01-04T00:06:22.000Z  20   87.4 //
2012-01-04T20:06:55.000Z  80   82.9 //
2012-01-04T21:14:15.000Z  60   92.9 //
2012-01-04T21:29:13.000Z  60   90.3 //
2012-01-04T22:21:36.000Z  70   90.8 //
2012-01-05T19:15:00.000Z  80  101.0 //
2012-01-05T19:22:30.000Z  90  103.0 //
2012-01-05T22:30:00.000Z  60   90.2 //
2012-01-05T23:45:00.000Z  70   97.0 //
2012-01-06T19:22:30.000Z  40   94.0 //
2012-01-06T19:52:30.000Z  90   95.0 //
2012-01-06T22:45:00.000Z  70   82.6 //
2012-01-06T23:07:30.000Z  70   88.4 //
2012-01-06T23:37:30.000Z  40  112.5 //
2012-01-07T00:15:00.000Z  60   83.2 //
2012-01-07T19:00:00.000Z  70  105.0 //
2012-01-08T19:15:00.000Z  50   99.9 //
2012-01-08T19:22:30.000Z  40  101.0 //
2012-01-08T19:30:00.000Z  80  100.0 //
2012-01-08T19:37:30.000Z  70  102.0 //
2012-01-08T20:07:30.000Z  70  101.5 //
2012-01-08T20:15:00.000Z  90  102.0 //
2012-01-08T20:30:00.000Z  80   97.4 //
2012-01-08T22:37:30.000Z  90   82.2 //
2012-01-08T23:22:30.000Z  20  120.1 //
2012-01-09T00:22:30.000Z  70   82.1 //
2012-01-09T19:30:00.000Z  80  104.0 //
2012-01-09T19:52:30.000Z  40  105.0 //
2012-01-09T20:00:00.000Z  80  103.5 //
2012-01-09T20:45:00.000Z  80  158.0 //
2012-01-09T21:52:30.000Z  90  131.0 //
2012-01-09T22:00:00.000Z  90  123.2 //
2012-01-09T22:07:30.000Z  90  116.5 //
2012-01-09T22:30:00.000Z  90   95.6 //
2012-01-09T22:45:00.000Z  70   84.5 //
2012-01-09T23:15:00.000Z  80  119.0 //
2012-01-09T23:52:30.000Z  40  110.0 //
2012-01-10T19:00:00.000Z  70  107.0 //
2012-01-10T19:22:30.000Z  70  111.0 //
2012-01-10T19:30:00.000Z  20  107.0 //
2012-01-10T19:37:30.000Z  70  105.0 //
2012-01-10T19:45:00.000Z  60  104.5 //
2012-01-10T20:00:00.000Z  80  103.7 //
2012-01-10T20:07:30.000Z  70   95.7 //
2012-01-10T20:15:00.000Z  70  102.6 //
2012-01-10T20:22:30.000Z  40  103.0 //
2012-01-10T20:30:00.000Z  80  102.4 //
2012-01-10T20:37:30.000Z  80   97.5 //
2012-01-10T20:45:00.000Z  40  100.0 //
2012-01-10T20:52:30.000Z  60  101.0 //
2012-01-10T21:00:00.000Z  80  101.0 //
2012-01-10T21:07:30.000Z  40   99.0 //
2012-01-10T21:15:00.000Z  70   98.0 //
2012-01-10T21:22:30.000Z  60   98.5 //
2012-01-10T21:30:00.000Z   0   88.7 //
2012-01-10T21:37:30.000Z  50   88.6 //
2012-01-10T21:52:30.000Z  40   88.7 //
2012-01-10T22:00:00.000Z  20   92.6 //
2012-01-10T22:07:30.000Z  60   97.4 //
2012-01-10T22:15:00.000Z  90   96.8 //
2012-01-10T23:00:00.000Z  80   88.3 //
2012-01-10T23:15:00.000Z  70   88.7 //
2012-01-10T23:22:30.000Z  90   89.6 //
2012-01-10T23:30:00.000Z  70   84.6 //
2012-01-10T23:37:30.000Z  40   93.0 //
2012-01-10T23:45:00.000Z  70   89.9 //
2012-01-10T23:52:30.000Z  40   83.8 //
2012-01-11T00:07:30.000Z  80   98.0 //
2012-01-11T00:15:00.000Z  40   98.0 //
2012-01-11T00:30:00.000Z  60   94.0 //
2012-01-11T19:00:00.000Z  60  101.0 //
2012-01-11T19:07:30.000Z  40   98.0 //
2012-01-11T19:15:00.000Z  40  100.0 //
2012-01-11T19:22:30.000Z  80  103.0 //
2012-01-11T19:30:00.000Z  70  101.0 //
2012-01-11T20:15:00.000Z  60  105.0 //
2012-01-11T22:22:30.000Z  40   85.0 //
2012-01-11T23:45:00.000Z  90   97.3 //
2012-01-12T00:07:30.000Z  80   97.0 //
2012-01-12T18:37:30.000Z  70  102.8 //
2012-01-12T19:07:30.000Z  70   82.8 //
2012-01-12T19:15:00.000Z  90  100.4 //
2012-01-12T19:30:00.000Z  80  101.4 //
2012-01-12T19:45:00.000Z  90   98.4 //
2012-01-12T20:07:30.000Z  80   88.0 //
2012-01-12T22:30:00.000Z  40   91.4 //
2012-01-12T23:22:30.000Z  70   82.7 //
2012-01-13T00:00:00.000Z  70   87.1 //
2012-01-13T19:00:00.000Z  60   97.5 //
2012-01-13T20:00:00.000Z  90   97.0 //
2012-01-13T21:15:00.000Z  90   83.0 //
2012-01-13T21:37:30.000Z  70  109.0 //
2012-01-13T21:45:00.000Z  40   84.8 //
2012-01-13T22:52:30.000Z  80   97.0 //
2012-01-13T23:00:00.000Z  90   82.3 //
2012-01-13T23:07:30.000Z  70   96.5 //
2012-01-13T23:30:00.000Z  80   87.3 //
2012-01-15T00:00:00.000Z  90  121.3 //
2012-01-15T00:07:30.000Z  60  107.0 //
2012-01-15T21:00:00.000Z  70  140.1 //
2012-01-15T21:07:30.000Z  80  139.0 //
2012-01-15T21:15:00.000Z  40  131.0 //
2012-01-15T21:22:30.000Z  80  125.2 //
2012-01-15T21:30:00.000Z  90  137.0 //
2012-01-15T21:45:00.000Z  60  116.9 //
2012-01-15T21:52:30.000Z  60  121.0 //
2012-01-15T22:00:00.000Z  60  131.0 //
2012-01-15T22:07:30.000Z  60  124.7 //
2012-01-15T22:22:30.000Z  40  125.0 //
2012-01-15T23:00:00.000Z  60  157.0 //
2012-01-15T23:52:30.000Z  80   89.2 //
2012-01-16T21:22:30.000Z  90  117.1 //
2012-01-16T21:30:00.000Z  70  123.3 //
2012-01-16T21:37:30.000Z  40  123.5 //
2012-01-16T21:52:30.000Z  70  124.7 //
2012-01-16T22:00:00.000Z  90  124.0 //
2012-01-16T22:45:00.000Z  90  120.7 //
2012-01-16T23:00:00.000Z  90   81.6 //
2012-01-16T23:15:00.000Z  40  158.0 //
2012-01-16T23:30:00.000Z  50  156.0 //
2012-01-17T00:07:30.000Z  70   84.8 //
2012-01-17T18:45:00.000Z  40  108.2 //
2012-01-17T18:52:30.000Z  40  112.3 //
2012-01-17T19:00:00.000Z  80  113.8 //
2012-01-17T19:07:30.000Z  40  111.8 //
2012-01-17T19:15:00.000Z  80  110.0 //
2012-01-17T19:22:30.000Z  60  107.6 //
2012-01-17T19:37:30.000Z  60  104.0 //
2012-01-17T19:45:00.000Z  70  100.5 //
2012-01-17T19:52:30.000Z  40  113.0 //
2012-01-17T20:00:00.000Z  20  107.7 //
2012-01-17T20:07:30.000Z  40  105.0 //
2012-01-17T21:15:00.000Z  60  143.0 //
2012-01-17T21:22:30.000Z  40  135.7 //
2012-01-17T21:30:00.000Z  70  137.0 //
2012-01-17T21:45:00.000Z  60  129.1 //
2012-01-17T21:52:30.000Z  70  130.0 //
2012-01-17T22:07:30.000Z  80  123.8 //
2012-01-17T22:22:30.000Z  40  131.9 //
2012-01-17T22:52:30.000Z  80   82.0 //
2012-01-17T23:07:30.000Z  90   79.7 //
2012-01-17T23:22:30.000Z  20  148.0 //
2012-01-17T23:37:30.000Z  40   86.9 //
2012-01-18T00:00:00.000Z  80   98.7 //
2012-01-18T19:07:30.000Z  80   87.3 //
2012-01-18T19:15:00.000Z  70  125.3 //
2012-01-18T19:22:30.000Z  70   97.0 //
2012-01-18T19:30:00.000Z  60  109.0 //
2012-01-18T19:45:00.000Z  80  111.0 //
2012-01-18T20:00:00.000Z  70  108.0 //
2012-01-18T20:07:30.000Z  70  107.0 //
2012-01-18T20:30:00.000Z  50  111.0 //
2012-01-18T20:37:30.000Z  70  115.0 //
2012-01-18T21:30:00.000Z  60  117.0 //
2012-01-18T22:07:30.000Z  80  100.6 //
2012-01-18T22:15:00.000Z  95   96.0 //
2012-01-18T22:22:30.000Z  45   83.4 //
2012-01-18T23:00:00.000Z  90   84.3 //
2012-01-18T23:15:00.000Z  75   83.9 //
2012-01-18T23:30:00.000Z  60  138.0 //
2012-01-19T00:00:00.000Z   0  136.0 //
