# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-19T19:14:50.499Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2018-07-02T21:00:00.000Z - 2019-07-02T03:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS   foE QD
2018-07-02T21:00:10.000Z  95  3.13 //
2018-07-02T21:07:40.000Z  65  3.15 //
2018-07-02T21:15:10.000Z  75  3.15 //
2018-07-02T21:22:40.000Z  50  3.08 //
2018-07-02T21:30:10.000Z  50  3.03 //
2018-07-02T21:37:40.000Z  65  2.95 //
2018-07-02T21:45:10.000Z  45  3.06 //
2018-07-02T21:52:40.000Z  65  3.06 //
2018-07-02T22:00:10.000Z  65  2.95 //
2018-07-02T22:07:40.000Z  65  3.11 //
2018-07-02T22:15:10.000Z  65  3.08 //
2018-07-02T22:22:40.000Z  80  2.95 //
2018-07-02T22:30:10.000Z 100  2.95 //
2018-07-02T22:37:40.000Z  95  2.93 //
2018-07-02T22:45:10.000Z  80  3.03 //
2018-07-02T22:52:40.000Z  95  3.03 //
2018-07-02T23:00:10.000Z  95  3.03 //
2018-07-02T23:07:40.000Z  80  3.03 //
2018-07-02T23:15:10.000Z  80  3.03 //
2018-07-02T23:22:40.000Z  80  2.90 //
2018-07-02T23:30:10.000Z  80  3.03 //
2018-07-02T23:37:40.000Z  80  3.03 //
2018-07-02T23:45:10.000Z  70  2.88 //
2018-07-02T23:52:40.000Z  60  3.03 //
2018-07-03T00:00:10.000Z  65  3.03 //
2018-07-03T00:07:40.000Z  70  3.03 //
2018-07-03T00:15:10.000Z  65  3.06 //
2018-07-03T00:22:40.000Z  45  2.63 //
2018-07-03T00:30:10.000Z  70  2.63 //
2018-07-03T00:37:40.000Z  80  3.01 //
2018-07-03T00:45:10.000Z  80  2.61 //
2018-07-03T00:52:40.000Z  40  2.98 //
2018-07-03T01:00:10.000Z   0  2.98 //
2018-07-03T01:07:40.000Z  65  2.95 //
2018-07-03T01:15:10.000Z  65  2.76 //
2018-07-03T01:22:40.000Z  70  2.93 //
2018-07-03T01:30:10.000Z  80  2.90 //
2018-07-03T01:37:40.000Z  65  2.90 //
2018-07-03T01:45:10.000Z  70  2.88 //
2018-07-03T01:52:40.000Z  60  2.86 //
2018-07-03T02:00:10.000Z  60  2.83 //
2018-07-03T02:07:40.000Z  65  2.76 //
2018-07-03T02:15:10.000Z  70  2.76 //
2018-07-03T02:22:40.000Z  80  2.73 //
2018-07-03T02:30:10.000Z  60  2.73 //
2018-07-03T02:37:40.000Z  40  2.53 //
2018-07-03T02:45:10.000Z  65  2.53 //
2018-07-03T02:52:40.000Z  70  2.51 //
2018-07-03T03:00:10.000Z  80  2.51 //
2018-07-03T03:15:10.000Z  60  2.51 //
2018-07-03T03:22:40.000Z  80  2.51 //
2018-07-03T03:30:10.000Z  80  2.28 //
2018-07-03T03:37:40.000Z  80  2.23 //
2018-07-03T03:45:10.000Z  80  2.51 //
2018-07-03T03:52:40.000Z  70  2.11 //
2018-07-03T04:07:40.000Z  70  2.03 //
2018-07-03T04:15:10.000Z  70  2.06 //
2018-07-03T04:22:40.000Z  60  1.96 //
2018-07-03T04:37:40.000Z  60  1.83 //
2018-07-03T04:45:10.000Z  70  2.26 //
2018-07-03T05:45:10.000Z  70  1.73 //
2018-07-03T05:52:40.000Z  70  1.68 //
2018-07-03T06:00:10.000Z   0  1.65 //
2018-07-03T06:37:40.000Z  70  1.61 //
2018-07-03T06:45:10.000Z  70  1.55 //
2018-07-03T07:22:40.000Z  70  1.23 //
2018-07-03T08:22:40.000Z  15  0.68 //
2018-07-03T08:30:10.000Z  70  0.63 //
2018-07-03T08:37:40.000Z  65  0.61 //
2018-07-03T08:52:40.000Z  65  0.61 //
2018-07-03T09:45:10.000Z  70  0.63 //
2018-07-03T10:07:40.000Z  70  0.78 //
2018-07-03T10:30:10.000Z  70  0.63 //
2018-07-03T10:45:10.000Z  65  0.65 //
2018-07-03T10:52:40.000Z  25  0.63 //
2018-07-03T11:15:10.000Z  70  0.68 //
2018-07-03T13:22:40.000Z  20  1.68 //
2018-07-03T13:52:40.000Z  15  1.86 //
2018-07-03T15:45:10.000Z  75  0.68 //
2018-07-03T18:00:10.000Z  65  2.90 //
2018-07-03T18:22:40.000Z  65  2.56 //
2018-07-03T18:30:10.000Z  65  2.98 //
2018-07-03T18:37:40.000Z  65  2.98 //
2018-07-03T18:45:10.000Z  55  3.01 //
2018-07-03T18:52:40.000Z  45  3.01 //
2018-07-03T19:00:10.000Z  10  2.83 //
2018-07-03T19:07:40.000Z  45  3.03 //
2018-07-03T19:15:10.000Z  75  3.06 //
2018-07-03T19:22:40.000Z  20  3.03 //
2018-07-03T19:37:40.000Z  65  3.08 //
2018-07-03T19:45:10.000Z  80  2.88 //
2018-07-03T19:52:40.000Z  50  2.90 //
2018-07-03T20:00:10.000Z  80  3.11 //
2018-07-03T20:07:40.000Z  80  3.08 //
2018-07-03T20:15:10.000Z  65  2.90 //
2018-07-03T20:22:40.000Z  65  3.11 //
2018-07-03T20:30:10.000Z  65  3.08 //
2018-07-03T20:37:40.000Z  20  3.11 //
2018-07-03T20:45:10.000Z  75  3.06 //
2018-07-03T20:52:40.000Z  65  3.13 //
2018-07-03T21:07:40.000Z  45  3.15 //
2018-07-03T21:15:10.000Z  25  3.13 //
2018-07-03T21:22:40.000Z  80  3.15 //
2018-07-03T21:30:10.000Z  80  2.95 //
2018-07-03T21:37:40.000Z  60  2.95 //
2018-07-03T21:45:10.000Z  65  2.95 //
2018-07-03T21:52:40.000Z  65  3.15 //
2018-07-03T22:00:10.000Z  70  3.15 //
2018-07-03T22:07:40.000Z  50  3.13 //
2018-07-03T22:15:10.000Z  40  3.13 //
2018-07-03T22:22:40.000Z  45  3.13 //
2018-07-03T22:30:10.000Z  40  3.11 //
2018-07-03T22:37:40.000Z  20  3.08 //
2018-07-03T22:45:10.000Z  40  3.13 //
2018-07-03T22:52:40.000Z  65  3.08 //
2018-07-03T23:00:10.000Z  70  3.06 //
2018-07-03T23:07:40.000Z  80  3.03 //
2018-07-03T23:15:10.000Z  60  3.08 //
2018-07-03T23:22:40.000Z  50  3.03 //
2018-07-03T23:30:10.000Z  40  3.03 //
2018-07-03T23:37:40.000Z  65  3.11 //
2018-07-03T23:45:10.000Z  45  3.03 //
2018-07-03T23:52:40.000Z  45  3.03 //
2018-07-04T00:00:10.000Z  45  3.03 //
2018-07-04T00:07:40.000Z  40  3.06 //
2018-07-04T00:15:10.000Z  65  3.03 //
2018-07-04T00:22:40.000Z  65  2.83 //
2018-07-04T00:30:10.000Z  65  3.03 //
2018-07-04T00:37:40.000Z  65  2.81 //
2018-07-04T00:45:10.000Z  45  2.81 //
2018-07-04T00:52:40.000Z  65  2.98 //
2018-07-04T01:00:10.000Z  45  2.98 //
2018-07-04T01:07:40.000Z  80  2.95 //
2018-07-04T01:15:10.000Z  80  2.93 //
2018-07-04T01:22:40.000Z  45  2.93 //
2018-07-04T01:30:10.000Z  80  2.90 //
2018-07-04T01:37:40.000Z  95  2.90 //
2018-07-04T01:45:10.000Z  80  2.88 //
2018-07-04T01:52:40.000Z  80  2.86 //
2018-07-04T02:00:10.000Z  80  2.61 //
2018-07-04T02:07:40.000Z  80  2.83 //
2018-07-04T02:15:10.000Z  65  2.76 //
2018-07-04T02:22:40.000Z  80  2.76 //
2018-07-04T02:30:10.000Z  65  2.76 //
2018-07-04T02:37:40.000Z  65  2.73 //
2018-07-04T02:45:10.000Z  70  2.51 //
2018-07-04T02:52:40.000Z  70  2.51 //
2018-07-04T03:00:10.000Z  25  2.51 //
2018-07-04T03:07:40.000Z  70  2.26 //
2018-07-04T03:15:10.000Z  70  2.63 //
2018-07-04T03:22:40.000Z  70  2.01 //
2018-07-04T03:30:10.000Z  80  2.56 //
2018-07-04T03:37:40.000Z  80  2.28 //
2018-07-04T03:45:10.000Z  90  2.11 //
2018-07-04T03:52:40.000Z  60  2.48 //
