# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:02:42.670Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-15T00:00:00.000Z - 2012-03-16T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-15T00:15:00.000Z  70  2.28 //  2.51 //  109.9 //  110.0 //
2012-03-15T00:37:30.000Z  70  1.75 //   --- __    --- __   83.8 //
2012-03-15T00:45:00.000Z  90  1.88 //   --- __    --- __   86.3 //
2012-03-15T00:52:30.000Z  75  1.38 //   --- __    --- __  110.9 //
2012-03-15T01:07:30.000Z  75  1.95 //   --- __    --- __   84.4 //
2012-03-15T01:15:00.000Z  90  2.17 //  2.08 //  109.1 //  126.3 //
2012-03-15T01:22:30.000Z  90  1.83 //   --- __    --- __   85.0 //
2012-03-15T01:30:00.000Z  90   --- __  1.65 //   88.5 //    --- __
2012-03-15T02:07:30.000Z  75  1.77 //   --- __    --- __   93.8 //
2012-03-15T02:52:30.000Z  80  1.83 //   --- __    --- __   84.2 //
2012-03-15T03:15:00.000Z  45  1.77 //   --- __    --- __   82.5 //
2012-03-15T03:30:00.000Z  70   --- __  1.15 //   89.7 //    --- __
2012-03-15T04:00:00.000Z  65  1.73 //   --- __    --- __   86.3 //
2012-03-15T07:37:30.000Z  40  3.22 //   --- __    --- __  122.5 //
