# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-27T00:39:07.523Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-06T00:00:00.000Z - 2012-07-07T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-07-06T00:00:00.000Z  80  3.72 //  3.08 //   97.7 //  106.3 //
2012-07-06T00:07:30.000Z  40  3.83 //  3.11 //   98.4 //  107.5 //
2012-07-06T00:15:00.000Z  60  3.38 //  3.06 //   98.0 //  106.3 //
2012-07-06T00:22:30.000Z  60  3.38 //  3.20 //   99.0 //  106.3 //
2012-07-06T00:30:00.000Z  90  3.58 //  3.26 //   96.3 //  111.3 //
2012-07-06T00:37:30.000Z  90  3.67 //  3.23 //   96.3 //  110.0 //
2012-07-06T00:45:00.000Z  80  3.38 //  3.18 //   97.3 //  104.7 //
2012-07-06T00:52:30.000Z  90  3.35 //  3.20 //   94.0 //  160.0 //
2012-07-06T01:00:00.000Z  90  3.75 //  3.23 //   96.0 //  100.0 //
2012-07-06T01:07:30.000Z  80  3.38 //  3.13 //   95.0 //  108.8 //
2012-07-06T01:15:00.000Z  95  3.17 //  3.20 //   97.0 //  105.0 //
2012-07-06T01:22:30.000Z  90  3.70 //  3.11 //   97.0 //  100.0 //
2012-07-06T01:30:00.000Z  80  3.38 //  3.11 //   96.0 //  101.3 //
2012-07-06T01:45:00.000Z  80  3.35 //  3.06 //   91.3 //  100.0 //
2012-07-06T01:52:30.000Z  85  3.38 //  2.86 //   94.0 //  102.5 //
2012-07-06T02:00:00.000Z  80  3.15 //  3.08 //   96.0 //  124.1 //
2012-07-06T02:07:30.000Z  95  2.83 //  3.06 //   98.7 //  105.0 //
2012-07-06T02:15:00.000Z  90  2.72 //  3.01 //   96.5 //  106.9 //
2012-07-06T02:22:30.000Z  95  2.85 //  2.90 //  100.0 //  106.6 //
2012-07-06T02:30:00.000Z  80  3.08 //  2.93 //   99.0 //  130.0 //
2012-07-06T02:37:30.000Z  80   --- __  2.93 //   99.0 //    --- __
2012-07-06T02:45:00.000Z  80  3.00 //  2.90 //   97.3 //  116.7 //
2012-07-06T02:52:30.000Z  90  3.05 //  2.88 //   98.0 //  119.4 //
2012-07-06T03:00:00.000Z  90  3.00 //  2.73 //   98.6 //  120.6 //
2012-07-06T03:07:30.000Z  80   --- __  2.83 //   99.5 //    --- __
2012-07-06T03:15:00.000Z  80  2.70 //  2.73 //  100.0 //  105.0 //
2012-07-06T03:22:30.000Z  90   --- __  2.63 //   98.9 //    --- __
2012-07-06T03:30:00.000Z  60   --- __  2.56 //  101.0 //    --- __
2012-07-06T03:37:30.000Z  70   --- __  2.56 //  104.0 //    --- __
2012-07-06T03:45:00.000Z  40  2.65 //  2.53 //  103.9 //  148.3 //
2012-07-06T03:52:30.000Z   0   --- __  2.48 //  105.0 //    --- __
2012-07-06T04:00:00.000Z  80   --- __  2.45 //  104.8 //    --- __
2012-07-06T04:07:30.000Z  80  2.90 //  2.40 //  108.0 //  131.9 //
2012-07-06T04:15:00.000Z  90  3.33 //   --- __    --- __  125.6 //
2012-07-06T04:22:30.000Z  90  3.38 //   --- __    --- __  120.0 //
2012-07-06T04:37:30.000Z  90  3.22 //   --- __    --- __  130.0 //
2012-07-06T04:45:00.000Z  25  3.90 //   --- __    --- __  126.3 //
2012-07-06T04:52:30.000Z  70  3.25 //   --- __    --- __  126.3 //
2012-07-06T05:00:00.000Z  70  3.03 //   --- __    --- __  125.0 //
2012-07-06T05:07:30.000Z   0  2.53 //   --- __    --- __  138.8 //
2012-07-06T05:22:30.000Z  75  3.30 //  2.23 //  118.3 //  139.5 //
2012-07-06T05:30:00.000Z 100  3.38 //   --- __    --- __  132.5 //
2012-07-06T05:37:30.000Z  50  3.38 //   --- __    --- __  137.5 //
2012-07-06T05:45:00.000Z  60   --- __  2.01 //  113.0 //    --- __
2012-07-06T06:00:00.000Z  90  3.20 //   --- __    --- __  145.0 //
2012-07-06T06:07:30.000Z  55  3.90 //   --- __    --- __  136.0 //
2012-07-06T06:15:00.000Z  60  3.17 //   --- __    --- __  132.5 //
2012-07-06T06:22:30.000Z  50  2.83 //  1.83 //  123.0 //  134.4 //
2012-07-06T06:30:00.000Z  40  2.72 //  1.78 //  120.6 //  138.8 //
