# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T19:59:23.061Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-08T00:00:00.000Z - 2012-03-09T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-08T00:30:00.000Z  25  1.85 //   --- __    --- __   96.9 //
2012-03-08T00:52:30.000Z  25  1.95 //   --- __    --- __   86.3 //
2012-03-08T01:00:00.000Z  75  1.85 //   --- __    --- __   87.5 //
2012-03-08T01:07:30.000Z  25  1.33 //   --- __    --- __   84.1 //
2012-03-08T01:15:00.000Z  20  1.88 //   --- __    --- __   84.1 //
2012-03-08T01:22:30.000Z  25  1.75 //   --- __    --- __   86.3 //
2012-03-08T01:30:00.000Z  75  2.00 //   --- __    --- __   84.6 //
2012-03-08T01:37:30.000Z  75   --- __  1.90 //   82.6 //    --- __
2012-03-08T01:45:00.000Z  25  1.80 //   --- __    --- __   85.6 //
2012-03-08T02:30:00.000Z  75  1.45 //   --- __    --- __  113.6 //
2012-03-08T02:45:00.000Z  75  1.92 //   --- __    --- __   86.3 //
2012-03-08T02:52:30.000Z  20  1.95 //   --- __    --- __   84.4 //
2012-03-08T03:07:30.000Z  75  1.77 //   --- __    --- __   93.8 //
2012-03-08T03:22:30.000Z  75  1.63 //   --- __    --- __   99.4 //
2012-03-08T04:07:30.000Z  25  1.63 //   --- __    --- __   90.0 //
2012-03-08T04:15:00.000Z  20  1.83 //   --- __    --- __   85.0 //
2012-03-08T05:00:00.000Z  40  1.77 //   --- __    --- __   85.0 //
2012-03-08T05:07:30.000Z  40  1.75 //   --- __    --- __   84.4 //
