# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:00:54.226Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-07T00:00:00.000Z - 2012-03-08T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-07T00:07:30.000Z  90  1.95 //   --- __    --- __   86.3 //
2012-03-07T00:15:00.000Z  65  1.88 //   --- __    --- __   85.0 //
2012-03-07T01:07:30.000Z  40  2.97 //   --- __    --- __  117.9 //
2012-03-07T01:30:00.000Z  80  2.70 //   --- __    --- __  122.1 //
2012-03-07T01:37:30.000Z  80  2.75 //   --- __    --- __   87.1 //
2012-03-07T01:45:00.000Z  90  1.83 //   --- __    --- __   83.8 //
2012-03-07T02:22:30.000Z  90  2.17 //   --- __    --- __   86.3 //
2012-03-07T02:52:30.000Z  65  1.83 //   --- __    --- __   85.0 //
2012-03-07T03:07:30.000Z  65  1.30 //  1.25 //   81.3 //   83.1 //
2012-03-07T03:15:00.000Z  65  1.70 //   --- __    --- __   85.0 //
2012-03-07T03:22:30.000Z  65   --- __  1.15 //   86.2 //    --- __
2012-03-07T03:30:00.000Z  65  1.83 //   --- __    --- __   85.0 //
2012-03-07T04:00:00.000Z  90  1.83 //   --- __    --- __   83.8 //
2012-03-07T04:07:30.000Z  60  1.70 //   --- __    --- __   89.0 //
2012-03-07T04:30:00.000Z  60  1.88 //   --- __    --- __  103.1 //
2012-03-07T05:22:30.000Z  75  4.78 //   --- __    --- __  110.9 //
2012-03-07T05:45:00.000Z   0  4.75 //   --- __    --- __  112.1 //
