# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-12-06T00:50:48.480Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T00:01:00.000Z - 2013-01-01T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# foEs [MHz] - Es layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS   foF2 QD  foEs QD
2012-01-01T00:06:22.000Z  60  8.100 //   --- __
2012-01-01T00:13:51.000Z  60  7.325 //   --- __
2012-01-01T00:21:20.000Z  60  5.725 //   --- __
2012-01-01T00:28:49.000Z  90  7.575 //   --- __
2012-01-01T00:36:18.000Z  90  7.375 //   --- __
2012-01-01T00:43:47.000Z  75  7.175 //   --- __
2012-01-01T00:51:16.000Z  60  7.100 //   --- __
2012-01-01T00:58:45.000Z  60  6.950 //   --- __
2012-01-01T01:06:14.000Z   0  7.075 //   --- __
2012-01-01T01:13:43.000Z  80  6.450 //   --- __
2012-01-01T01:21:12.000Z  20  4.925 //   --- __
2012-01-01T01:28:41.000Z  20  6.100 //   --- __
2012-01-01T01:36:10.000Z  65  6.125 //   --- __
2012-01-01T01:43:39.000Z  80  5.625 //   --- __
2012-01-01T01:51:08.000Z   0  5.325 //   --- __
2012-01-01T01:58:36.000Z  80  5.125 //   --- __
2012-01-01T02:06:05.000Z  70  4.850 //   --- __
2012-01-01T02:13:34.000Z  80  4.850 //   --- __
2012-01-01T02:21:03.000Z  80  4.750 //   --- __
2012-01-01T02:28:32.000Z   0  4.250 //   --- __
2012-01-01T02:36:01.000Z  70  4.050 //   --- __
2012-01-01T02:43:30.000Z  70  3.800 //   --- __
2012-01-01T02:50:59.000Z  40  3.625 //   --- __
2012-01-01T02:58:28.000Z  60  3.425 //   --- __
2012-01-01T03:05:57.000Z  70  3.075 //   --- __
2012-01-01T03:13:26.000Z  70  2.625 //   --- __
2012-01-01T03:20:55.000Z  20  2.700 //   --- __
2012-01-01T03:28:24.000Z  65  2.450 //   --- __
2012-01-01T03:35:53.000Z  70  2.325 //   --- __
2012-01-01T03:45:00.000Z  90  2.250 //   --- __
2012-01-01T03:52:30.000Z  90  2.150 //   --- __
