# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-18T01:07:09.277Z
#
# Location: GEO 23.0N 72.5E, URSI-Code AH223 AHMEDABAD
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-02T21:00:00.000Z - 2013-07-02T21:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AH223 data provider
#
#Time                     CS   foE QD
2012-07-03T01:00:00.000Z  85  1.98 //
2012-07-03T01:22:30.000Z  85  2.03 //
2012-07-03T01:30:00.000Z  95  2.26 //
2012-07-03T01:37:30.000Z  95  2.31 //
2012-07-03T01:45:00.000Z  95  2.51 //
2012-07-03T01:52:30.000Z 100  2.43 //
2012-07-03T02:00:00.000Z 100  2.56 //
2012-07-03T02:07:30.000Z 100  2.56 //
2012-07-03T02:15:00.000Z  95  2.65 //
2012-07-03T02:22:30.000Z  95  2.68 //
2012-07-03T02:30:00.000Z  95  2.76 //
2012-07-03T02:37:30.000Z  85  2.83 //
2012-07-03T02:45:00.000Z 100  2.88 //
2012-07-03T02:52:30.000Z  95  2.98 //
2012-07-03T03:00:00.000Z  95  3.06 //
2012-07-03T03:07:30.000Z  95  3.18 //
2012-07-03T03:15:00.000Z  95  3.18 //
2012-07-03T03:22:30.000Z 100  3.11 //
2012-07-03T03:30:00.000Z  95  3.13 //
2012-07-03T03:37:30.000Z  95  3.11 //
2012-07-03T03:52:30.000Z  95  3.08 //
2012-07-03T04:00:00.000Z  85  3.33 //
2012-07-03T04:07:30.000Z 100  3.11 //
2012-07-03T04:15:00.000Z 100  3.18 //
2012-07-03T04:22:30.000Z 100  3.26 //
2012-07-03T04:30:00.000Z  70  3.01 //
2012-07-03T04:45:00.000Z  95  3.26 //
2012-07-03T04:52:30.000Z 100  3.61 //
2012-07-03T05:00:00.000Z  95  3.11 //
2012-07-03T05:15:00.000Z  95  3.53 //
2012-07-03T05:30:00.000Z  95  3.11 //
2012-07-03T05:52:30.000Z  95  3.11 //
2012-07-03T06:00:00.000Z  95  3.53 //
2012-07-03T06:07:30.000Z  95  3.73 //
2012-07-03T06:15:00.000Z  95  3.53 //
2012-07-03T09:30:00.000Z  95  3.53 //
2012-07-03T09:37:30.000Z  95  3.33 //
2012-07-03T09:45:00.000Z  95  3.40 //
2012-07-03T09:52:30.000Z  95  3.48 //
2012-07-03T10:00:00.000Z  95  3.48 //
2012-07-03T10:07:30.000Z  95  3.43 //
2012-07-03T10:15:00.000Z  95  3.40 //
2012-07-03T10:22:30.000Z  95  3.36 //
2012-07-03T10:30:00.000Z  95  3.28 //
2012-07-03T10:37:30.000Z  95  3.26 //
2012-07-03T10:45:00.000Z  95  3.36 //
2012-07-03T10:52:30.000Z  95  3.28 //
2012-07-03T11:00:00.000Z  90  3.15 //
2012-07-03T11:07:30.000Z  95  3.06 //
2012-07-03T11:15:00.000Z  95  2.88 //
2012-07-03T11:22:30.000Z  95  2.98 //
2012-07-03T11:30:00.000Z  50  2.93 //
2012-07-03T11:37:30.000Z  95  2.76 //
2012-07-03T11:45:00.000Z  95  2.58 //
2012-07-03T12:00:00.000Z  95  2.33 //
2012-07-03T12:07:30.000Z  50  2.78 //
2012-07-03T12:15:00.000Z  95  2.81 //
2012-07-03T12:22:30.000Z  95  2.65 //
2012-07-03T12:30:00.000Z  90  2.68 //
2012-07-03T12:37:30.000Z  95  2.13 //
2012-07-03T12:45:00.000Z  90  2.61 //
2012-07-03T12:52:30.000Z  95  2.51 //
2012-07-03T13:00:00.000Z  85  2.13 //
2012-07-04T01:07:30.000Z 100  2.11 //
2012-07-04T01:15:00.000Z  90  2.08 //
2012-07-04T01:22:30.000Z  90  2.28 //
2012-07-04T01:30:00.000Z 100  2.36 //
2012-07-04T01:37:30.000Z 100  2.53 //
2012-07-04T01:45:00.000Z 100  2.58 //
2012-07-04T01:52:30.000Z  95  2.58 //
2012-07-04T02:00:00.000Z  90  2.68 //
2012-07-04T02:07:30.000Z 100  2.73 //
2012-07-04T02:15:00.000Z  95  2.78 //
2012-07-04T02:22:30.000Z  60  2.86 //
2012-07-04T02:30:00.000Z  95  2.95 //
2012-07-04T02:37:30.000Z  90  2.90 //
2012-07-04T02:45:00.000Z  95  3.06 //
2012-07-04T02:52:30.000Z  95  3.06 //
2012-07-04T03:00:00.000Z  95  3.11 //
2012-07-04T03:07:30.000Z 100  3.13 //
2012-07-04T03:15:00.000Z 100  3.20 //
2012-07-04T03:22:30.000Z  95  3.18 //
2012-07-04T03:30:00.000Z  95  3.31 //
2012-07-04T03:37:30.000Z  90  3.20 //
2012-07-04T03:45:00.000Z  75  3.15 //
2012-07-04T03:52:30.000Z  90  3.31 //
2012-07-04T04:00:00.000Z  95  3.40 //
2012-07-04T04:22:30.000Z  95  3.38 //
2012-07-04T06:15:00.000Z  95  3.63 //
2012-07-04T06:22:30.000Z   0  3.65 //
2012-07-04T06:30:00.000Z  85  3.53 //
2012-07-04T06:37:30.000Z  95  3.61 //
2012-07-04T06:52:30.000Z  95  3.58 //
2012-07-04T10:45:00.000Z  95  3.33 //
2012-07-04T10:52:30.000Z  95  3.03 //
2012-07-04T11:00:00.000Z  95  3.28 //
2012-07-04T11:07:30.000Z  95  3.13 //
2012-07-04T11:15:00.000Z  95  3.08 //
2012-07-04T11:22:30.000Z  65  2.90 //
2012-07-04T11:30:00.000Z  95  3.06 //
2012-07-04T11:37:30.000Z  65  2.98 //
2012-07-04T11:45:00.000Z  85  2.88 //
2012-07-04T11:52:30.000Z  95  2.93 //
2012-07-04T12:07:30.000Z  95  2.90 //
2012-07-04T12:37:30.000Z  65  2.61 //
2012-07-04T12:45:00.000Z  85  2.61 //
2012-07-04T12:52:30.000Z  85  2.51 //
2012-07-04T13:00:00.000Z  85  2.40 //
2012-07-04T13:07:30.000Z  45  2.28 //
2012-07-04T13:15:00.000Z  85  2.13 //
2012-07-04T13:22:30.000Z  95  1.98 //
2012-07-04T13:30:00.000Z  85  1.78 //
2012-07-04T13:37:30.000Z  95  1.55 //
2012-07-05T01:07:30.000Z 100  1.88 //
2012-07-05T01:22:30.000Z 100  2.08 //
2012-07-05T01:30:00.000Z  90  2.33 //
2012-07-05T01:37:30.000Z  95  2.38 //
2012-07-05T01:45:00.000Z  95  2.48 //
2012-07-05T01:52:30.000Z  90  2.63 //
2012-07-05T02:00:00.000Z  95  2.53 //
2012-07-05T02:07:30.000Z  90  2.68 //
2012-07-05T02:15:00.000Z  95  2.76 //
2012-07-05T02:22:30.000Z  95  2.81 //
2012-07-05T02:30:00.000Z  95  2.90 //
2012-07-05T02:37:30.000Z  90  3.01 //
2012-07-05T03:07:30.000Z  90  3.13 //
2012-07-05T03:15:00.000Z  95  2.95 //
2012-07-05T03:22:30.000Z  90  2.93 //
2012-07-05T03:30:00.000Z  90  3.11 //
2012-07-05T04:07:30.000Z  95  3.45 //
2012-07-05T04:30:00.000Z  55  3.53 //
2012-07-05T04:37:30.000Z  95  3.51 //
2012-07-05T04:45:00.000Z  90  3.45 //
2012-07-05T04:52:30.000Z  65  3.56 //
2012-07-05T05:00:00.000Z  75  3.33 //
2012-07-05T05:07:30.000Z  40  3.56 //
2012-07-05T05:22:30.000Z  90  3.63 //
2012-07-05T05:37:30.000Z 100  3.65 //
2012-07-05T06:07:30.000Z  70  3.58 //
2012-07-05T06:15:00.000Z   0  3.65 //
2012-07-05T06:22:30.000Z  45  3.58 //
2012-07-05T06:30:00.000Z 100  3.51 //
2012-07-05T06:37:30.000Z  70  3.63 //
2012-07-05T06:45:00.000Z  45  3.51 //
2012-07-05T07:30:00.000Z  95  3.51 //
2012-07-05T08:00:00.000Z  95  3.56 //
2012-07-05T08:15:00.000Z  85  3.45 //
2012-07-05T08:37:30.000Z  95  3.53 //
2012-07-05T09:00:00.000Z  85  3.58 //
2012-07-05T09:07:30.000Z  85  3.48 //
2012-07-05T09:37:30.000Z  95  3.45 //
