# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-17T19:43:40.721Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-02T21:00:00.000Z - 2012-07-03T21:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS   foE QD
2012-07-02T23:00:00.000Z  95  3.40 //
2012-07-02T23:30:00.000Z  65  3.38 //
2012-07-02T23:52:30.000Z  45  3.31 //
2012-07-03T00:07:30.000Z  45  3.26 //
2012-07-03T00:15:00.000Z  65  3.23 //
2012-07-03T00:22:30.000Z  90  3.20 //
2012-07-03T00:30:00.000Z  95  3.18 //
2012-07-03T01:15:00.000Z  45  3.01 //
2012-07-03T03:30:00.000Z  80  2.76 //
2012-07-03T03:37:30.000Z  80  2.51 //
2012-07-03T03:45:00.000Z  80  2.73 //
2012-07-03T04:52:30.000Z  65  1.28 //
2012-07-03T05:30:00.000Z  70  2.18 //
2012-07-03T05:37:30.000Z  60  2.13 //
2012-07-03T05:45:00.000Z  40  2.11 //
2012-07-03T06:07:30.000Z  90  1.93 //
2012-07-03T06:15:00.000Z  80  1.90 //
2012-07-03T06:22:30.000Z  80  1.80 //
2012-07-03T06:30:00.000Z  40  1.80 //
2012-07-03T06:45:00.000Z  80  1.68 //
2012-07-03T06:52:30.000Z  70  1.63 //
2012-07-03T07:00:00.000Z  70  1.58 //
2012-07-03T07:07:30.000Z  70  1.13 //
2012-07-03T07:15:00.000Z  60  1.23 //
2012-07-03T07:22:30.000Z   0  1.43 //
2012-07-03T13:00:00.000Z  65  1.50 //
2012-07-03T13:07:30.000Z  60  1.78 //
2012-07-03T13:22:30.000Z  70  1.93 //
2012-07-03T13:30:00.000Z  70  1.98 //
2012-07-03T13:45:00.000Z  80  2.08 //
2012-07-03T13:52:30.000Z  70  2.15 //
2012-07-03T14:00:00.000Z  60  2.20 //
2012-07-03T14:07:30.000Z  40  2.20 //
2012-07-03T14:15:00.000Z  50  2.26 //
2012-07-03T14:22:30.000Z  60  2.31 //
2012-07-03T14:30:00.000Z  40  2.33 //
2012-07-03T14:37:30.000Z  70  2.36 //
2012-07-03T14:45:00.000Z  70  2.45 //
2012-07-03T14:52:30.000Z  70  2.45 //
2012-07-03T15:00:00.000Z  70  2.53 //
2012-07-03T15:07:30.000Z  70  2.56 //
2012-07-03T15:15:00.000Z  80  2.51 //
2012-07-03T15:22:30.000Z  65  2.61 //
2012-07-03T15:30:00.000Z  60  2.61 //
2012-07-03T15:37:30.000Z  70  2.58 //
2012-07-03T15:45:00.000Z  70  2.73 //
2012-07-03T15:52:30.000Z  80  2.68 //
2012-07-03T17:45:00.000Z  80  3.13 //
2012-07-03T17:52:30.000Z  80  2.51 //
2012-07-03T18:00:00.000Z  80  3.15 //
2012-07-03T18:07:30.000Z  90  3.18 //
2012-07-03T18:37:30.000Z  90  3.26 //
2012-07-03T18:45:00.000Z  65  3.23 //
2012-07-03T18:52:30.000Z  25  2.95 //
2012-07-03T19:00:00.000Z  80  3.28 //
